"Country Name","Country Code","Year","average_value_Contributing family workers, female (% of female employment) (modeled ILO estimate)","average_value_Contributing family workers, male (% of male employment) (modeled ILO estimate)","average_value_Contributing family workers, total (% of total employment) (modeled ILO estimate)","average_value_Employment in industry (% of total employment) (modeled ILO estimate)","average_value_Employment in industry, female (% of female employment) (modeled ILO estimate)","average_value_Employment in industry, male (% of male employment) (modeled ILO estimate)","average_value_Employment in services (% of total employment) (modeled ILO estimate)","average_value_Employment in services, female (% of female employment) (modeled ILO estimate)","average_value_Employment in services, male (% of male employment) (modeled ILO estimate)","average_value_Employment to population ratio, 15+, female (%) (national estimate)","average_value_Employment to population ratio, 15+, male (%) (national estimate)","average_value_Employment to population ratio, 15+, total (%) (national estimate)","average_value_GDP per person employed (constant 2017 PPP $)","average_value_Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, female (%) (national estimate)","average_value_Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, male (%) (national estimate)","average_value_Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, total (%) (national estimate)","average_value_Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15+) (national estimate)","average_value_Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15+) (national estimate)","average_value_Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, total (% of total population ages 15+) (national estimate)","average_value_Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","average_value_Labor force, female (% of total labor force)","average_value_Labor force, total","average_value_Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","average_value_Ratio of female to male labor force participation rate (%) (national estimate)","average_value_Share of youth not in education, employment or training, female (% of female youth population)","average_value_Share of youth not in education, employment or training, male (% of male youth population)","average_value_Share of youth not in education, employment or training, total (% of youth population)","average_value_Unemployment, female (% of female labor force) (modeled ILO estimate)","average_value_Unemployment, female (% of female labor force) (national estimate)","average_value_Unemployment, male (% of male labor force) (modeled ILO estimate)","average_value_Unemployment, male (% of male labor force) (national estimate)","average_value_Unemployment, total (% of total labor force) (modeled ILO estimate)","average_value_Unemployment, total (% of total labor force) (national estimate)","average_value_Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","average_value_Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","average_value_Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","average_value_Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","average_value_Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","average_value_Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","average_value_Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","average_value_Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","average_value_Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
"Iceland","ISL","2018","0.5","0.259999990463257","0.379999995231628","16.7900009155273","7.6100001335144","25.0400009155273","79.1800003051758","91.1600036621094","68.4199981689453","75.94","83.09","79.63","96579.788506041","80.83","80.98","78.81","79.69","79.8","80.3","71.06","77.92","84.45","79.53","85.52","89.65","75.29","81.84","87.08","47.2315120998046","212896","89.3499308437068","91.1131898971001","5.32000017166138","4.46999979019165","4.86999988555908","2.54","2.54","2.85","2.85","2.7","2.7","5.47","5.63","6.35","6.49","5.91","6.08","91.4000015258789","84.5400009155273","87.7900009155273"
"Japan","JPN","1987","","","","","","","","","","47.25","75.14","60.81","","","43","","42.2","","42.6","","48.6","","","77.3","","","62.6","","","","","62.8719275549806","","","","","2.8","","2.8","","2.8","","5","","5.4","","5.2","","",""
"Cambodia","KHM","1999","54.8600006103516","26.0900001525879","40.8499984741211","7.6100001335144","8.77000045776367","6.3899998664856","17.0200004577637","14.5299997329712","19.6399993896484","","","","3051.03240741427","74.2","74.62","62.74","63.73","68.54","69.38","77.92","77.47","81.04","82.34","81.64","84.23","80","79.4","82.55","51.6171444906541","5422150","94.6320136021375","94.8922097011269","","","","1.56","","0.45","","1.02","","2.21","","1.17","","1.74","","7.09999990463257","15.7799997329712","11.3299999237061"
"Korea, Rep.","KOR","1971","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.29","","5.29","","4.57","","","","","","","","",""
"Lao PDR","LAO","1998","40.7099990844727","28.75","34.7599983215332","4.1399998664856","3.3199999332428","4.96999979019165","12.5900001525879","9.71000003814697","15.5","","","","5923.6234460604","78.86","","64.95","","71.85","","79.46","","83.95","81.57","","83.78","80.49","","83.86","50.2165659336388","2315692","97.4132646806424","","","","","2.09","","2.29","","2.19","","3.84","","4.59","","4.18","","5.98000001907349","14.710000038147","10.3199996948242"
"Low & middle income","LMY","2009","25.822901858655","10.413562232792","16.2911711273072","21.8175706045653","17.6074820829206","24.4145865227838","37.7244451622091","41.7428995896639","35.2423692519493","","","","17363.3028148867","37.2342561576113","","56.7871571945072","","47.2646745951209","","48.4662985371867","","51.8616838427559","78.0663726595618","","81.570254639727","63.2962993562055","","66.8815026454448","38.2061760333242","2539079148","65.2344711145482","","","","","5.67571438889522","","5.50008058814306","","5.56629824323676","","15.2659890369796","","13.6145282074412","","14.0082322826615","","40.0458339193351","41.126190332152","40.7143723419459"
"Macao SAR, China","MAC","2019","0.379999995231628","0.0299999993294477","0.200000002980232","9.65999984741211","2.29999995231628","16.6399993896484","89.9400024414063","97.5899963378906","82.6900024414063","","","","215528.615403253","45.3","","47.86","","46.61","","64.15","66.7","72.51","76.05","74.6","84.39","69.8","70.3","78.15","48.2534602976376","384360","84.3523997370151","89.4101876675603","","","","1.29","1.3","2.08","2.1","1.7","1.75","4.24","4.24","5.59","5.47","4.95","4.88","96.4000015258789","90.9400024414063","93.5899963378906"
"Morocco","MAR","2009","50.0099983215332","15.710000038147","24.7399997711182","21.2099990844727","13.25","24.0499992370605","37.5","25.2900009155273","41.8600006103516","17.48","49.43","33.24","19277.0950785231","19.21","21.62","53.66","57.87","36.45","39.83","25.6","19.27","27.37","75.48","54.23","79.25","49.8","36.51","52.73","26.4716598619629","11315947","33.9162692103869","35.5338373593952","","","","9.28","9.28","8.84","8.84","8.96","8.96","14.6","14.54","17.38","17.43","16.65","16.65","34.3899993896484","49.2799987792969","45.3600006103516"
"Mali","MLI","1995","30.4200000762939","32.5499992370605","31.6000003814697","7.8899998664856","6.94000005722046","8.64000034332275","18.1200008392334","17.2600002288818","18.8099994659424","","","","4068.49026674304","51.16","","64.35","","57.82","","59.72","","62.21","79.85","","81.97","69.46","","71.79","44.3948257677756","3551754","74.7902316844083","","","","","3.35","","3.27","","3.3","","4.91","","4.67","","4.78","","5.55999994277954","15.4099998474121","11.039999961853"
"Malta","MLT","2003","0.370000004768372","0.140000000596046","0.209999993443489","29.8799991607666","18.5799999237061","34.7200012207031","67.6600036621094","80.8300018310547","62.0299987792969","27.74","66.1","46.55","75817.1752460818","56.57","57.07","63.78","62.85","60.27","60.04","30.05","30.78","36.56","69.85","70.63","80.48","49.63","50.32","58.76","30.7543472329025","161252","43.0207587687903","43.5792156307518","","","","9.9","9.88","6.42","6.4","7.49","7.49","19.76","19.41","15.77","15.6","17.59","17.37","91.5800018310547","83.6399993896484","86.0199966430664"
"Malta","MLT","2020","","","","","","","","","","50.61","68.11","59.68","81987.1766029631","","52.11","","55.85","","54.06","","52.92","","","71.09","","58.25","62.34","","","261997","","74.4408496272331","","","","","4.36","","4.19","4.09","4.26","","7.98","","13.07","","10.73","","",""
"Middle East & North Africa (excluding high income)","MNA","1996","30.4243342969836","7.98025832072196","11.8542049868751","24.5691467010213","18.8358623683889","25.7728410949197","44.9239878185096","41.8151076740644","45.5668597351723","","","","29519.6593106317","15.6863362207077","","53.9887210373573","","35.2337972028517","","16.6154712575167","","17.6663045260175","74.4077016565709","","76.8271918243708","45.6200601512087","","47.4924822052274","18.1416842364855","70977775","22.7628856399925","","","","","16.2943780522506","","11.4808743627218","","12.35308779117","","29.2224351006608","","22.7806422916843","","24.3871937532407","","50.9086835983034","57.7429135597654","56.5679745562723"
"OECD members","OED","2001","5.0967284320211","1.72758144438652","3.14568005622402","26.7447575102326","15.5394334602155","34.87324072144","66.5110906666207","79.5256009247361","57.0693206992538","46.3448249928375","67.3966473678358","56.5008041552364","80475.1253949386","45.3642461799187","46.1019826024761","55.7443026474158","56.084869927323","50.6326131320443","51.1082749203217","49.3406302078355","49.9068118689342","58.9814956063841","71.4712338350434","71.85049454501","80.2950838537533","60.0742353664298","60.4936787907024","69.619324634567","42.2965225904682","575346154","70.0426701237163","70.5106130430238","","","","7.17396715591743","7.16525893773618","6.22846834281559","6.21511236957482","6.62800556040564","6.61825750054572","14.3887727120448","14.3987605265012","13.6874906997242","13.7766036487466","13.8975897627026","13.9541602848084","84.0317431785368","79.1763875560154","81.2165159381885"
"Panama","PAN","1995","3.00999999046326","4.55999994277954","4.03999996185303","18.0699996948242","11.210000038147","21.5699996948242","61.1300010681152","85.3199996948242","48.7900009155273","33.98","72.52","53.09","31765.8441610397","35.31","34.88","67.16","66.75","51.5","50.94","42.8","42.54","46.06","81.75","81.26","85.42","62.33","61.74","65.86","34.236121040099","1133046","52.3547400611621","52.3504799409303","","","","5.06","20.14","3.13","10.75","3.79","14.01","10.29","","6.31","","7.65","","80.2099990844727","60.9599990844727","67.4599990844727"
"Papua New Guinea","PNG","1996","27.9500007629395","36.5699996948242","32.3300018310547","3.50999999046326","1.16999995708466","5.76999998092651","23.8299999237061","21.0900001525879","26.4699993133545","","","","8457.21228901822","57.14","","55.19","","56.14","","69.35","","70.52","71.44","","72.02","70.4","","71.28","48.8727848891468","2226638","97.0744680851064","","","","","2.09","","3.71","","2.92","","4.46","","6.04","","5.26","","7.84000015258789","21.6399993896484","14.8599996566772"
"West Bank and Gaza","PSE","2020","","","","","","","","","","9.66","50.49","30.34","28165.7312110607","","8.81","","42.89","","26.23","","16.12","","","65.12","","42.77","40.94","","","1266283","","24.7542997542998","","","","","40.07","","22.48","27.35","25.89","","69.96","","36.6","","42.08","","",""
"Post-demographic dividend","PST","1986","","","","","","","","","","43.33184233694","68.2062244591032","55.2564929657281","","","54.4821342718613","","60.574299380571","","57.4978592577672","","47.7860568420765","","","73.7637904378417","","","60.2610556092394","","","","","","","","","","","","","","","","16.3522783890698","","15.0415795102509","","15.6138967759238","","",""
"Singapore","SGP","1972","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","","","","","","","","",""
"Tonga","TON","2005","18.8299999237061","16.8299999237061","17.5900001525879","30.4799995422363","56.6399993896484","14.3599996566772","39.5699996948242","39.8899993896484","39.3699989318848","","","","15955.6225539924","26.21","","40.73","","33.66","","42.22","","44.91","68.3","","70.18","55.05","","57.48","38.9704597098409","34326","61.8155197657394","","","","","3.13","","1.47","","2.12","","10.29","","3.53","","6.09","","41.1500015258789","47.4000015258789","45.0099983215332"
"United States","USA","1980","","","","","","","","","","47.7","72","59.2","","","61.9","","74.4","","68.1","","51.5","","","77.4","","","63.8","","","","","66.5374677002584","","","","","7.4","","6.9","","7.1","","13","","14.6","","13.9","","",""
"Vanuatu","VUT","1997","3.1800000667572","4.73999977111816","4.07999992370605","0.319999992847443","0.119999997317791","0.469999998807907","29.9899997711182","25.8500003814697","33.060001373291","","","","7912.28786411192","49.89","","60.26","","55.18","","60.34","","60.98","77.96","","78.56","69.3","","69.86","42.7812147276078","69991","77.3986659825552","","","","","5.19","","4.34","","4.7","","9.15","","8.8","","8.96","","16.0499992370605","28.1900005340576","23.0400009155273"
"Zimbabwe","ZWE","2000","15.5100002288818","12.5","13.9399995803833","11.5699996948242","4.38000011444092","18.1399993896484","27.8099994659424","25.6900005340576","29.75","","","","8646.60056978096","65.84","","79.55","","72.62","","72.11","","72.74","87.43","","88.01","79.46","","80.13","47.2301089878902","5469782","82.4774104998284","","","","","4.63","","6.55","","5.64","","9.24","","12.4","","10.95","","21.9699993133545","54.0299987792969","38.7299995422363"
"Arab World","ARB","2003","25.885140635335","8.47112775106767","11.8067347569778","20.5257050852438","11.7862712946999","22.6010101294728","50.3408776410079","49.7864345006739","50.4673021790326","","","","42073.7257422905","16.8671333266941","","48.2684782729713","","32.9096594086414","","19.8581019337447","","21.0987226365996","73.6141113143557","","76.4741494228393","47.3448085745485","","49.6067359779489","20.4970214950073","90011599","27.8272909329338","","","","","17.7973301436875","","10.850557064489","","12.27405151736","","31.9850308643809","","24.7507513805707","","26.7484492691131","","53.7838831195907","60.8373812392519","59.4885105848427"
"Burundi","BDI","1994","33.0400009155273","40.5900001525879","36.5900001525879","2.40000009536743","0.75","4.26000022888184","5.38000011444092","2.41000008583069","8.72999954223633","","","","2417.75445690657","79.12","","73.79","","76.5","","88.65","","89.76","87.81","","88.45","88.25","","89.14","52.6679111875601","2597519","100.956610864366","","","","","1.38","","2.43","","1.87","","2.14","","4.29","","3.16","","20.1399993896484","15.4799995422363","17.9500007629395"
"Bangladesh","BGD","2012","53.939998626709","7.15000009536743","19.3799991607666","18.5599994659424","13.9200000762939","20.2000007629395","35.6800003051758","20.8500003814697","40.9300003051758","","","","8486.05230768394","22.39","","61.04","","41.96","","30.84","","32.26","82.08","","84.2","56.79","","58.54","26.807544536652","59278816","37.5730994152047","","","","","6.45","","3.18","","4.06","","9.67","","8.4","","8.73","","19.9599990844727","45.0499992370605","38.4900016784668"
"Bahamas, The","BHS","2003","0.140000000596046","0.219999998807907","0.180000007152557","15.8500003814697","5.48999977111816","25.2000007629395","81.1500015258789","93.9300003051758","69.620002746582","","","","83672.9094007987","47.63","","61.97","","54.76","","69.52","","74.78","81.34","","85.36","75.19","","79.91","48.1461254437308","168458","85.4684042291615","","","","","11.8","11.84","9.95","9.99","10.84","10.84","29.48","28.22","20.56","20.29","24.46","24.05","89.4599990844727","82.0899963378906","85.5800018310547"
"Bahamas, The","BHS","2010","0.310000002384186","0.280000001192093","0.28999999165535","16.1200008392334","3.57999992370605","27.4599990844727","81.1800003051758","95.9499969482422","67.8199996948242","","","","77405.3589235037","44.89","","62.42","","53.65","","69.49","","74.95","81.6","","86.03","75.29","","80.3","48.0766671784636","195390","85.1593137254902","","","","","14.5","","14.17","","14.33","","30.09","","24.05","","26.58","","92.6399993896484","80.2900009155273","86.1500015258789"
"Bolivia","BOL","2016","26.1499996185303","7.69000005722046","15.4300003051758","20.7900009155273","10.2700004577637","28.3799991607666","49.5299987792969","60.5499992370605","41.5699996948242","54.82","75.6","65","18462.3819305815","37.19","36.78","51.27","50.14","44.36","43.54","56.91","57.12","58.88","78.54","78.01","80.63","67.69","67.36","69.81","42.1584667822778","5079096","72.4598930481283","73.2213818741187","16.4799995422363","4.69999980926514","10.789999961853","4.04","4.03","3.1","3.09","3.5","3.5","7.79","7.82","6.09","6.09","6.79","6.81","29.4799995422363","31.0599994659424","30.3999996185303"
"Bolivia","BOL","1979","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.6","","","","","","","","",""
"Brunei Darussalam","BRN","1971","","","","","","","","","","","","","","","19.53","","57.73","","40.01","","19.99","","","80.1","","","53.14","","","","","24.956304619226","","","","","","","","","","","","","","","","","",""
"Central African Republic","CAF","1995","50.2099990844727","49.2599983215332","49.7000007629395","8.82999992370605","6.55000019073486","10.7799997329712","15.4899997711182","12.8500003814697","17.75","","","","2796.34857477502","51.9","","56.68","","54.27","","65.3","","66.89","80.67","","80.77","72.76","","73.68","46.1727108003844","1325638","80.9470683029627","","","","","4.67","","4.29","","4.47","","7.66","","7.43","","7.54","","6.03999996185303","8.77999973297119","7.51000022888184"
"Cabo Verde","CPV","2009","19.5","7.30999994277954","12.2200002670288","23.0499992370605","13.0500001907349","29.7900009155273","59.9599990844727","76.0299987792969","49.1300010681152","","","","17739.4694694171","33.73","","50.37","","42.19","","46.6","","50.74","70.43","","73.46","58.4","","62.21","40.2976977409313","189857","66.1649865114298","","","","","10.81","","10.49","","10.62","","25.91","","22.74","","23.99","","49.3600006103516","66.0500030517578","59.3300018310547"
"Cabo Verde","CPV","2013","19.5","7.15999984741211","12.2799997329712","22.6599998474121","12.5299997329712","29.8500003814697","62.0699996948242","78.1699981689453","50.6399993896484","","","","17308.1122732297","33.22","","45.92","","39.67","","49.6","","53.54","69.43","","71.98","59.51","","62.95","41.6810263207726","211240","71.4388592827308","","","","","11.77","","11.3","","11.49","","30.2","","26.11","","27.8","","49.0800018310547","66.6500015258789","59.3499984741211"
"Cyprus","CYP","1997","7.71999979019165","0.819999992847443","3.57999992370605","24.5400009155273","15.6999998092651","30.4300003051758","67.120002746582","76.5500030517578","60.8400001525879","","","","49312.3122850444","40.62","","44.51","","42.65","","49.15","","56.83","72.23","","79.48","60.7","","68.36","40.4356101990376","411882","68.046518067285","","","","","5.56","4.5","3.7","2.7","4.46","3.4","11.24","","6.78","","8.81","","82.4599990844727","69.7699966430664","74.8399963378906"
"East Asia & Pacific","EAS","2015","19.0482171996896","7.1415882654477","12.3282756918412","26.4906538808429","22.1116575069554","29.8727909160065","45.4209868284313","52.3912812560299","40.0427831890267","","","66.6471921301858","28484.4547165244","44.4113145544631","","52.4028132077009","","48.5723730315508","","59.7177747357904","","66.1232223498128","77.3500951314296","","82.9215503557178","68.5752278532864","68.8803671951179","74.6732970267738","43.3218097731731","1250496358","77.5892514395549","","","","","3.61460939978267","","4.38012757853881","","4.04718795410293","","9.84960490630707","","10.8627075977882","","10.3792045578413","","52.7183441400315","55.3447273957312","54.2018933091281"
"Eritrea","ERI","1999","35.3400001525879","50.5299987792969","43.6800003051758","9.35999965667725","5.51999998092651","12.5100002288818","22.6399993896484","18.9899997711182","25.6399993896484","","","","","69.53","","80.47","","74.98","","70.46","","72.97","88.2","","89.37","79.18","","81.07","45.2289479914766","950325","79.8866213151927","","","","","7.89","","6.09","","6.9","","12.05","","9.86","","10.88","","8.85000038146973","12.7299995422363","10.9799995422363"
"Ethiopia","ETH","2006","64.8399963378906","23.6200008392334","42.4300003051758","7.42000007629395","8.98999977111816","6.1100001335144","15.1499996185303","18.4300003051758","12.3900003433228","","","","2163.78637429444","71.05","","81.18","","76.12","","74.32","","76.62","89.87","","90.77","81.98","","83.6","45.9795954062674","34549769","82.6972293312563","","","","","3.14","","1.75","","2.39","","4.49","","2.56","","3.46","","6.92999982833862","10.8299999237061","9.05000019073486"
"European Union","EUU","2006","3.21638001705797","1.26986712147828","2.12622269619142","28.3937314619878","15.4675230168224","38.5455571564008","65.0055615486833","78.8600417923328","54.1278397601694","43.8710335517125","59.4873806914839","51.401560882357","89335.9545976107","38.0079738889145","37.6853969591805","45.3378961735313","44.8079446441057","41.7482034665391","41.3011510486884","48.2743901981598","48.52373007081","61.8428858244404","64.6524783798583","64.5462599357098","76.7344011015465","56.1795837147444","56.2520417911791","69.300432768333","44.4520438846431","206994780","74.9634405891034","75.4829356344759","13.0110241274214","10.8070338162926","11.895666765563","9.59887558085284","9.59319498429631","7.84577008676573","7.84258251181845","8.62586198823884","8.62572005939338","20.6508742400682","20.6763337558365","18.3533157290121","18.4104242813792","19.3354323200638","19.3900896815559","86.1332893670004","79.2953393546144","82.3016763179544"
"Fragile and conflict affected situations","FCS","2017","29.4243285542347","11.6263705404321","18.9577632126859","12.4886568414661","9.28744407092757","14.7248789065831","37.8717461105263","40.2497544590781","36.1668717859722","","","","","37.7763665518015","","50.6528042434467","","44.2840126262825","","50.0574623753234","","51.6479827109693","72.5035476768539","","73.9760179675447","61.1582314979115","","62.7527688670371","41.3713401942147","312683053","72.6172043741832","","","","","6.87498811768632","","5.98205577228513","","6.35083897143335","","17.3672741356809","","11.5550254589682","","12.9275082092496","","18.0226993654563","31.0919292515649","25.6975251325566"
"France","FRA","1975","","","","","","","","","","","","","","","43.64","","48.48","","46.1","","38.66","","","69.4","","","53.51","","","","","55.7060518731988","","","","","6.08","","2.86","","4.08","","","","","","","","",""
"Gambia, The","GMB","2006","15.3100004196167","15.1599998474121","15.2200002670288","16.9099998474121","4.6100001335144","25.4599990844727","49.9000015258789","52.810001373291","47.8800010681152","","","","7498.94415523931","37.13","","45.63","","41.34","","48.62","","49.81","68.47","","69.35","58.35","","59.39","42.4752281173369","499962","71.0092011099752","","","","","12.52","","6.85","","9.26","","17.04","","9.19","","12.75","","12.9899997711182","31.6100006103516","23.9799995422363"
"Gambia, The","GMB","2012","13.9899997711182","11.7700004577637","12.6999998092651","15.9099998474121","4.36999988555908","24.2299995422363","53.5499992370605","57.7400016784668","50.5299987792969","44.08","64.01","53.41","7264.13631889776","37.55","37.24","46.66","46.29","42.09","41.39","50.26","50.45","51.6","67.97","68.63","69.22","58.93","58.96","60.22","43.5297104800965","618334","73.9443872296602","73.5101267667201","42.6100006103516","23.8199996948242","34","12.79","12.63","6.82","6.73","9.42","9.42","17.51","17.22","9.2","9.12","12.92","13.06","14.8999996185303","33.0099983215332","25.4200000762939"
"Honduras","HND","2008","7.69000005722046","8.14999961853027","8","22","21.3899993896484","22.3099994659424","43.7299995422363","68.7799987792969","31.0200004577637","38.72","79.15","57.7","13642.3383029772","30.1","29.44","72.05","70.03","51.3","49.44","41.4","40.27","42.94","83.5","81.41","85","62.09","59.58","63.71","33.9167001934977","3027426","49.5808383233533","49.4656676084019","42","9.14999961853027","25.8199996948242","3.87","3.84","2.79","2.77","3.16","3.16","8.93","8.81","4.2","4.12","5.58","5.54","47.810001373291","50.4300003051758","49.5499992370605"
"Heavily indebted poor countries (HIPC)","HPC","1997","45.9463601115104","23.6501407254892","33.6197233792124","8.31433137036789","6.43005229141023","9.8363966942517","21.5358050046694","21.2921878936242","21.735452149952","","","","4437.67429497077","54.1944620884039","","63.2510289730022","","58.7292811764483","","63.3247649621494","","64.5779310708953","81.3744026965512","","81.9945995762744","72.1928398567131","","73.1709081230852","44.6223584483154","170654857","80.2821490964486","","","","","4.82070640135494","","5.20047709240001","","5.03086406295486","","9.25566061022466","","8.9948147667312","","8.95260365046732","","8.86219849944118","18.3670133895508","14.1136809217692"
"Iraq","IRQ","2007","6.42000007629395","2.36999988555908","2.97000002861023","20.4500007629395","17.1900005340576","21.0100002288818","54.6199989318848","62.3300018310547","53.2799987792969","11.31","65.89","38.11","34995.5078576805","6.93","6.89","56.51","56.3","32.38","31.44","12.35","12.22","12.98","72.2","72.3","75.15","42.2","41.71","44.17","14.6688583298339","6836817","17.1052631578947","16.9017980636238","70.4700012207031","21.5900001525879","46.1800003051758","7.44","7.44","8.85","8.86","8.65","8.65","19.25","19.14","16.88","17.04","17.12","17.28","61.8300018310547","67.8300018310547","66.9400024414063"
"Israel","ISR","2019","0.0500000007450581","0.0299999993294477","0.0399999991059303","17.2299995422363","7.94999980926514","25.5799999237061","81.8600006103516","91.5899963378906","73.0999984741211","57.24","65.11","61.09","90531.2634269364","47.51","46.81","46.22","45.21","46.85","45.99","59.6","59.57","69.58","67.96","67.6","74.77","63.71","63.5","72.18","47.5962545125594","4159779","87.6986462625074","88.1213017751479","","","","3.93","3.93","3.69","3.69","3.8","3.8","7.23","7.22","6.15","6.14","6.68","6.68","90.5800018310547","85.0899963378906","87.6900024414063"
"Korea, Rep.","KOR","1976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.98","","4.89","","3.81","","","","","","","","",""
"Latin America & Caribbean (excluding high income)","LAC","2011","8.38446652499784","3.72555980922299","5.58786007981753","21.4733954596824","12.7712855991059","27.2756772135634","62.8376902253982","78.7329537216884","52.2418907009707","46.9649478170624","74.2375714648884","60.0531178584259","34362.6924007813","41.3833958092972","42.4050131339491","62.0815203307887","63.2278871504861","51.8499102645181","52.8659094061775","50.6084091539221","51.0078739128651","54.920664767625","77.8068812634753","78.2175620659909","81.9017949205832","63.8312852911939","64.0661994612567","68.1665606329621","40.7437535941289","250526629","65.5475354215625","65.6088125200457","28.2966955123814","12.0541227914391","20.138000655689","8.06033696099079","7.90147494594319","5.21602525181163","5.08593154593758","6.37649062266547","6.25534960253102","16.9858361702103","16.8600813435453","11.3694440867948","11.0968376688549","13.6295032769909","13.4115635500227","63.3382842447156","61.8483808390941","62.4461994982705"
"Libya","LBY","1991","4.75","1.80999994277954","2.51999998092651","27.6900005340576","22.5300006866455","29.3400001525879","43.0800018310547","45.4900016784668","42.3199996948242","","","","","12.41","","23.6","","18.11","","24.42","","25.93","58.95","","61.61","42.97","","45.2","26.2938909909166","1151005","41.4249363867684","","","","","25.82","","16.36","","18.85","","55.93","","38.54","","44.39","","68.4599990844727","69.8300018310547","69.5"
"Liechtenstein","LIE","2002","","","","","","","","","","49.42","73","60.91","","","50.29","","59.43","","54.88","","51.79","","","76.05","","","63.61","","","","","68.0999342537804","","","","","","","","","1.45","","","","","","","","",""
"Latvia","LVA","2013","0.620000004768372","1.05999994277954","0.839999973773956","23.9200000762939","13.5299997329712","34.4700012207031","68.0199966430664","81.5699996948242","54.2799987792969","48.02","57.79","52.38","55668.8792344037","36","35.99","42.49","42.56","39.32","39.36","53.78","54.04","71.66","66.19","66.12","76.85","59.35","59.43","74.18","49.9452797005815","1020645","81.2509442513975","81.73018753781","13.4499998092651","12.6400003433228","13.0299997329712","11.14","11.14","12.6","12.6","11.87","11.87","24.89","24.93","21.85","21.84","23.21","23.22","90.6699981689453","86.1900024414063","88.4499969482422"
"Middle income","MIC","2004","28.4844399502001","11.7936853776331","18.1603390434956","20.3534040002043","17.3083767987046","22.2318391689391","35.8987303547813","39.1442721908636","33.9025795581442","","","","14494.1488819088","38.9507061950701","","60.0768146674354","","49.7715154604369","","49.3804568953816","","52.9706867252187","79.2216292661209","","82.7737827986385","64.3523130328288","","68.0608779971788","38.2308779302884","2211538334","65.3725197219448","","","","","6.07630983311011","","5.68143469541759","","5.83257715999974","","15.7595940405874","","14.0931161723037","","14.593335169226","","39.6498071564332","39.1526732480101","39.3419950708382"
"North Macedonia","MKD","1988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.2","","16.9","","21.4","","","","","","","","",""
"Mauritania","MRT","2020","","","","","","","","","","","","","20753.588526803","","","","","","","","","","","","","44.56","","","","1249658","","","","","","","","","","10.66","","","","","","","","","",""
"Pakistan","PAK","1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7","","","","","","","","",""
"Pre-demographic dividend","PRE","2015","26.9680679271932","11.7320780727001","18.4749208465215","10.5698072461128","7.08839584942007","13.3291413621723","34.9374751431563","35.7964463842655","34.2453797764909","","","","10557.6931002408","40.0861798977122","","48.3497569323035","","44.2412483775293","","56.2428903784684","","57.1554413422038","71.9988210569041","","72.7550039012765","64.0386068068414","","64.9139702649866","44.3734866406472","301145013","80.6784936887768","","","","","5.46161350939821","","4.85260856735477","","5.1229739914838","","12.1778803399026","","9.31837176171068","","10.0808178108179","","14.1047298935965","28.6258666824014","22.1938889923916"
"Pacific island small states","PSS","2015","39.7981069912306","20.7756348144339","28.4861481515917","13.6489196719709","9.80820427558717","16.3049273002019","52.85164038984","59.7364571633536","48.1651041308325","","","","19552.1510130952","44.1830858149269","","55.7267705010421","","50.0873245281068","","53.4899265213139","","55.6648751159089","76.8944078159708","","78.8232288454675","65.298745868194","","67.4027470925257","40.593180506692","859536","71.6221640523824","","","","","3.05346825713","","2.83490576753969","","2.92310262746412","","12.2338292061687","","7.42202623240185","","9.16489098226165","","36.1761649579436","49.8695956486158","44.3179205402851"
