"Country Name","Country Code","Year","average_value_Access to electricity, rural (% of rural population)","average_value_Agricultural irrigated land (% of total agricultural land)","average_value_Agricultural land (% of land area)","average_value_Agricultural land (sq. km)","average_value_Agricultural machinery, tractors","average_value_Agricultural machinery, tractors per 100 sq. km of arable land","average_value_Agricultural methane emissions (% of total)","average_value_Agricultural methane emissions (thousand metric tons of CO2 equivalent)","average_value_Agricultural nitrous oxide emissions (% of total)","average_value_Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)","average_value_Agricultural raw materials exports (% of merchandise exports)","average_value_Agricultural raw materials imports (% of merchandise imports)","average_value_Agriculture, forestry, and fishing, value added (% of GDP)","average_value_Agriculture, forestry, and fishing, value added (current US$)","average_value_Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","average_value_Arable land (% of land area)","average_value_Arable land (hectares per person)","average_value_Arable land (hectares)","average_value_Average precipitation in depth (mm per year)","average_value_Cereal production (metric tons)","average_value_Cereal yield (kg per hectare)","average_value_Crop production index (2014-2016 = 100)","average_value_Employment in agriculture (% of total employment) (modeled ILO estimate)","average_value_Employment in agriculture, female (% of female employment) (modeled ILO estimate)","average_value_Employment in agriculture, male (% of male employment) (modeled ILO estimate)","average_value_Fertilizer consumption (% of fertilizer production)","average_value_Fertilizer consumption (kilograms per hectare of arable land)","average_value_Food production index (2014-2016 = 100)","average_value_Forest area (% of land area)","average_value_Forest area (sq. km)","average_value_Land area (sq. km)","average_value_Land under cereal production (hectares)","average_value_Livestock production index (2014-2016 = 100)","average_value_Permanent cropland (% of land area)","average_value_Rural land area (sq. km)","average_value_Rural land area where elevation is below 5 meters (% of total land area)","average_value_Rural land area where elevation is below 5 meters (sq. km)","average_value_Rural population","average_value_Rural population (% of total population)","average_value_Rural population growth (annual %)","average_value_Rural population living in areas where elevation is below 5 meters (% of total population)","average_value_Surface area (sq. km)"
"United Kingdom","GBR","1996","100","","72.3101723639069","174940","","","22.4763920547053","27610","52.704861903675","23090","0.614970087612688","2.09322549590449","1.10166268951188","15592823712.9485","","25.2056379944612","0.104836165554494","6098000","","24510178","7299.9","102.49","1.95000004768372","1.1599999666214","2.59999990463257","146.215384615385","389.635946211873","98.01","11.9191501674038","28836","241930","3357622","95.57","0.23147191336337","","","","12556499","21.587","-0.0229336996510548","","243610"
"Gibraltar","GIB","1960","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","",""
"Gambia, The","GMB","1985","","","56.6205533596838","5730","","","70.6787464771911","362.591864452497","89.261927412978","246.01271834","","","26.3780647363331","59541847.505072","","16.699604743083","0.22360679076623","169000","","116090","1262.4","65.2","","","","","23.0769230769231","56.9","","","10120","91960","38.69","0.395256916996047","","","","506236","66.981","2.56483054122653","","11300"
"Equatorial Guinea","GNQ","2014","4.99485974797669","","10.1247771836007","2840","","","","10","","10","","","1.29424877164029","281699109.226648","","4.27807486631016","0.106925854939039","120000","","","","95.94","37.810001373291","43.5699996948242","34.4099998474121","","","95.15","89.0758645276292","24985.78","28050","","97.68","2.13903743315508","","","","335750","29.917","2.38655533578836","","28050"
"Guam","GUM","1974","","","31.4814814814815","170","75","375","20.4414107542845","6.62974230852634","94.0675100566712","2.801796554","","","","","","3.7037037037037","0.0218871063056753","2000","","30","3000","55.36","","","","","","71.14","","","540","10","161.26","12.962962962963","","","","18045","19.748","-15.8203730492404","","540"
"Honduras","HND","1979","","","29.1089462865314","32570","3200","21.4190093708166","74.6057150655389","2559.94590104384","82.3745739509804","1835.571907","8.44922268160027","0.73978881902589","36.2485769467125","1284751779.38466","","13.3523996782554","0.418879170181859","1494000","","424434","1000.2","56.24","","","","","13.0522088353414","54.44","","","111890","424347","29.48","2.35052283492716","","","","2342975","65.691","2.24666962584928","","112490"
"Croatia","HRV","1961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55910","","","","","","","2873765","68.96","-0.623918426231999","","56540"
"IDA & IBRD total","IBT","2014","73.2771779854272","","37.4642914657033","35957036.7","","","","2824790","","1738380","1.53648756304427","2.11789919883844","8.67087247929748","2618187979797.99","14.89","11.0640124644459","0.173333875539977","","","1991363034","3400.91497622279","0.182583074318089","34.7856856645658","34.2197472226388","35.1320769362708","98.3811746317807","137.875368854619","0.199574669810316","32.1226582828929","30830306.876","95987709.978","585536221","0.18699455576294","1.55339059331431","","","","3154046716","51.7353944510893","0.240523159605971","","98555736.868"
"IDA total","IDA","1975","","","35.7525359244983","7727980","150767","8.97307451471509","67.5744101268829","467020.885331903","67.7686030561728","239434.083805436","14.0399425561624","","","","","8.71772242856913","0.365862679569412","","","94985702","1217.30217742321","1.35616415212813","","","","176.630035839199","","1.63384870184114","","","24965594.271","78029342","2.51866641438947","0.825583014164404","","","","448676079","81.095361891749","2.4563894259725","","23150058"
"Isle of Man","IMN","1972","","","56.140350877193","320","","","","0","","0","","","","","","36.8421052631579","0.367351222754784","21000","","","","","","","","","","","","","570","","","","","","","25856","45.23","3.18684755291048","","570"
"Jamaica","JAM","1973","","","46.814404432133","5070","","","49.8914428091842","417.21519483409","47.4653135519553","252.212497","0.236676616269166","2.78838769912787","","","","13.3887349953832","0.0737171437606318","145000","","4140","1158","92.1","","","","","128.275862068966","69.07","","","10830","3575","40","9.69529085872576","","","","1122495","57.067","0.696139907480484","","10990"
"Kyrgyz Republic","KGZ","2002","100","9.53043801039347","56.1835245046924","107760","21921","162.981412639405","61.2903225806452","2280","90.4","1130","15.0171931195873","1.98866772512721","34.4047962763445","552418239.107602","93.53853801","7.01251303441084","0.269501272366602","1345000","533","1712217","2665.4","74.87","49.1100006103516","48.6699981689453","49.4300003051758","","7.05055762081784","79.22","6.20779979144943","11906.56","191800","642377","84.37","0.344108446298227","","","","3229232","64.705","0.919415832210489","","199950"
"Latin America & Caribbean (excluding high income)","LAC","1974","","","31.2230836147644","5696049","628572","66.2307981661913","69.8013457522181","342799.563050712","70.4382805258197","159550.441491386","6.66204204562384","3.43061504107184","13.0056031455171","40430745318.5506","","5.3170491589409","0.342001266372838","","","74690610","1665.5780781566","0.0587974433122594","","","","213.073283152548","41.3403273699713","0.0565765513105644","","","18243070","44843300","0.0509280547939793","0.893084332845294","","","","117020015","41.2590536903765","0.612815539830507","","18576880"
"Lao PDR","LAO","2002","30.5079852763417","","8.12824956672444","18760","","","91.4335664335664","5230","90.2173913043478","1660","","","33.3863040963517","586990203.947499","","4.39774696707106","0.184772321361118","1015000","1834","2540622","3244.5","42.6","80.3000030517578","83.6399993896484","76.9100036621094","","","47.53","75.0784228769497","173281","230800","783060","82.94","0.350953206239168","","","","4172451","75.956","0.160538106863491","","236800"
"Liberia","LBR","1993","","","12.4329318936877","11975.4","","","6.10328638497653","130","29.1666666666667","140","","","","","","3.63372093023256","0.177062691828456","350000","","65000","1083.3","48.2","56.2200012207031","61.1599998474121","51.810001373291","","","45.82","87.5670681063123","84344.6","96320","60000","53.75","1.55730897009967","","","","948639","47.991","5.22503026136448","","111370"
"Libya","LBY","2005","57.6700981298449","","8.74376257430919","153850","","","1.55180840664712","1270","66.6666666666667","1140","","","2.51001097978428","1188092326.50566","","0.994578128374462","0.301796204783384","1750000","","233600","622.8","87.02","23.6399993896484","27.0200004577637","22.1599998474121","13.6593413173653","29.9803028571429","91.41","0.123327687918433","2170","1759540","375080","100.2","0.190390670288826","","","","1329043","22.92","0.837177151330977","","1759540"
"Liechtenstein","LIE","1999","100","","43.75","70","","","50","10","0","0","","","","","","25","0.122081489394171","4000","","","","93.13","","","","","","90.77","41.75","66.8","160","","90.71","","","","","27715","84.586","1.75443096509095","","160"
"Lower middle income","LMC","1978","","","37.7808242767425","9144510","737841","21.6936769003699","63.3461578672351","919693.021564649","65.3351042909162","332284.082577477","7.1759461649234","4.166832366311","28.4240964325038","","","14.2215964697557","0.239460351811018","","","293127402","1463.15716763894","0.0606473959577203","","","","166.922402618387","29.5195178464042","0.0612172359735085","","","25540614","200339988","0.0520415864088646","1.57698439818266","","","","1122865444","74.4173275667673","1.83893962370252","","26404181"
"Late-demographic dividend","LTE","1972","","","","9152260.3","1126823.08","56.0848378781711","56.1689850694264","1101497.26390568","61.1084643657402","362432.277109809","","","26.1736675218271","95536141110.5443","","","0.164888870028097","","","312794251","2011.26085258746","0.049133252908354","","","","143.402416991152","","0.0463493074593472","","","44583965","155521101","0.0323360993233126","0.979156726565425","","","","986069730","70.3877280044671","2.02440924028335","","45821992.9"
"Madagascar","MDG","2004","","2.17907597385109","70.232486157444","408430","550","1.86440677966102","84.1004184100418","14070","94.1666666666667","6780","3.15517982726032","0.738844813851327","31.4205052808436","1591364610.40535","","5.07273790280978","0.165702484166706","2950000","","3389544","2353.2","77.84","80.2699966430664","81.4800033569336","79.129997253418","","2.2635220338983","74.76","22.0847989820133","128431.94","581540","1440370","71.81","1.0317433022664","","","","12780590","71.789","2.60432291665307","","587040"
"Maldives","MDV","1975","","","23.3333333333333","70","","","1.23841049722841","0.193084295854373","21.8515776997562","0.60582494","","","","","","10","0.0219912328285124","3000","","2070","889.9","152.75","","","","","","141.49","","","300","2326","66.57","10","","","","112812","82.696","1.75177170888475","","300"
"Myanmar","MMR","1979","","","15.8781405881813","103770","8661","9.05299466917529","53.1641366022995","38956.3400801546","21.5089186940582","7293.0011","","","","","","14.6387367261376","0.285740765237484","9567000","","10705395","2197.4","27.44","","","","151.136363636364","9.73136824500888","22.22","","","653540","4871890","9.99","0.68702757291061","","","","25458585","76.038","2.19926991489056","","676590"
"Montenegro","MNE","1974","","","","","","","","0","","0","","","","","","","","","","","","","","","","","","","","","13450","","","","","","","373826","69.368","0.231391073638341","","13810"
"Montenegro","MNE","1992","100","","","","","","68.6746987951807","570","84.6153846153846","110","","","","","","","","","","","","","11.4200000762939","10.2399997711182","12.2299995422363","","","","46.542750929368","6260","13450","","","","","","","302931","49.782","-1.86121702791451","","13810"
"Mauritania","MRT","2007","3.84379128550544","","38.4796740079558","396610","","","93.448275862069","5420","96.44128113879","2710","0.0032574912923642","0.490646345740622","18.4325192807889","801115407.967145","90.57917346","0.388085766954497","0.124901951967705","400000","92","182406","705.8","61.32","37.0699996948242","30.4300003051758","39.8600006103516","","","78.9","0.372135441932667","3835.6","1030700","258435","82.56","0.0106723585912487","","","","1796929","56.11","1.29267710921866","","1030700"
"Malaysia","MYS","2007","","","21.6320194795313","71072","","","11.969770843491","4910","87.6353790613719","9710","2.45972662158237","1.44173834058898","9.98677367962245","19329183151.0356","45.64504373","2.5177294171359","0.0309576586279672","827200","2875","2407075","3540.6","109.16","14.7299995422363","9.88000011444092","17.3299999237061","321.60358216971","2171.75726547389","73.32","58.3495967128291","191707.6","328550","679848","68.1","18.2468421853599","","","","8454324","31.64","-0.774876033261359","","330800"
"Niger","NER","1987","","","24.4825136180627","310120","158","0.166280782993054","60.3121202642158","2402.7745592061","86.1917749285107","1353.92531","","","35.2108480035791","786260286.101593","","7.50138154259098","1.29650505789792","9502000","151","1439055","326.5","15.47","","","","","0.300357819406441","25.04","","","1266700","4407216","57.51","0.0078945290913397","","","","6230107","85.007","2.63769709237364","","1267000"
"Nigeria","NGA","1978","","","53.7512214939008","489550","7300","3.87165208167595","32.409081776103","16659.1754872067","81.955012355726","11113.852842","0.380278851378408","0.435319960896885","","","","20.702262920386","0.272188230973548","18855000","","6004000","916.1","20.76","","","","1830.76923076923","3.78679395385839","22.1","","","910770","6554000","34.38","3.5135105460215","","","","54673552","78.926","2.47855251742146","","923770"
"Nicaragua","NIC","2015","62.1472760362827","","42.0890809373442","50650","","","","7900","","3120","0.858961657571746","0.974634826184367","16.1101157008631","2055120190.19107","","12.4979225527672","0.241674987635046","1504000","","747920","1940.4","97.48","30.9799995422363","9","44.5900001525879","","57.8932446808511","97.64","32.4707495429616","39075.3","120340","385455","97.33","2.37659963436929","","","","2620293","42.105","0.839950909197196","","130370"
"New Zealand","NZL","1983","","","63.5372754547871","167300","85926","332.402321083172","90.7410297599668","24676.2971149849","95.4592346666586","9818.065335","21.5308820220851","1.33948867111016","7.43464273162291","1807308096.74027","","9.8173255858114","0.807989247647923","2585000","","872190","4532.1","41.25","","","","125.897921070656","197.677756286267","55.79","","","263310","192447","64.73","0.13672097527629","","","","524941","16.408","1.11604367418914","","267710"
"Oman","OMN","1981","","","3.39579967689822","10510","109","47.3913043478261","3.295881270382","251.608235357216","55.0348396767492","171.636769256","0.0121664411658204","1.1527663422892","2.47676773913103","179791546.033584","","0.074313408723748","0.018843531507204","23000","","1209","1065.2","27.98","","","","","41.695652173913","25.97","","","309500","1135","22.66","0.0904684975767367","","","","616746","50.529","1.86835059083437","","309500"
"Panama","PAN","1980","","","24.9529190207156","18550","5458","125.471264367816","84.4980537574421","2240.52504401621","87.461917638253","804.16108","0.24615248869987","0.575603334218531","7.40376036304825","341615900","","5.85149313962873","0.219864755376451","435000","","243771","1538.9","117.44","","","","","70.3448275862069","65.38","","","74340","158410","32.79","1.61420500403551","","","","980401","49.553","1.83444920542379","","75420"
"Panama","PAN","2007","64.6399147615367","1.43382023478806","30.0215227333871","22318","","","53.6036036036036","2380","88.6178861788618","1090","1.07989752682652","0.226071293242607","4.84670391519167","1032153300","","7.26392251815981","0.156355367954852","540000","2928","382577","2599.5","118.41","14.7399997711182","3.33999991416931","21.2700004577637","","34.0888888888889","91.03","58.6795130481571","43622.35","74340","147174","75.41","2.35404896421846","","","","1234066","35.732","0.997613207511025","","75420"
"Peru","PER","1979","","","14.5546875","186300","11800","37.2122358877326","57.9274994630209","7848.88653974202","68.7637542999143","3928.807475","3.51398381347447","2.87748639570458","9.77495013621276","1560322451.47863","","2.47734375","0.185293471610218","3171000","","1480881","1883.4","28.45","","","","165.818366799022","37.0066225165563","26.76","","","1280000","786296","26.04","0.2578125","","","","6167667","36.04","0.841464749039069","","1285220"
"Poland","POL","1994","100","","61.0761043455549","187070","1310690","916.566433566433","34.1892124763054","19840","72.1297836938436","17340","3.22619564579543","2.92123347211932","","","","46.6877795553234","0.371017541813158","14300000","","21763445","2566.1","96.21","23.7099990844727","24.0900001525879","23.3999996185303","84.9031948925474","99.8705594405594","88.24","29.2298148813216","89528","306290","8480981","79.63","1.14923765059258","","","","14858578","38.551","0.0943536583963714","","312690"
"Puerto Rico","PRI","1978","","","55.8060879368658","4950","3980","406.122448979592","52.4530286438463","754.914478847965","96.1566499335304","300.464338","","","2.94312583967756","328600000","","11.0484780157835","0.0313156970570594","98000","","5615","6170.3","249.16","","","","","","168.91","","","8870","910","142.84","7.32807215332582","","","","1084657","34.66","-1.1071040821919","","8870"
"Puerto Rico","PRI","2018","100","","19.0417136414882","1689","","","","","","","","","0.708149616051523","714700000","","5.65952649379932","0.0157201487840058","50200","","288","1553.5","101.33","1.10000002384186","0.310000002384186","1.71000003814697","","","103.44","55.8455467869222","4953.5","8870","186","103.95","1.80383314543405","","","","205077","6.422","-3.90843573217435","","8870"
"Pacific island small states","PSS","1967","","","8.31053133948457","5224","1741","","","","","","1.15519220488583","","","","","2.0697341187709","","","","17751","1657.58336912877","0.103528338438479","","","","","","0.0939492985466076","","","62860","10709","0.0576094537579354","4.55615653833917","","","","798171","74.5140726059266","2.18302204913721","","63810"
"Pacific island small states","PSS","1978","","","9.67865097041044","6084","","","93.4117514111557","2544.9699266252","98.7146057222252","3685.0093562825","5.8897391171778","0.753777259500755","","","","2.41999681579366","","","","25363","1938.0281729961","0.114989240569002","","","","","","0.110386936087734","","","62860","13087","0.0901322341518075","4.95386573337576","","","","973955","71.5857592518276","1.88900907837449","","63810"
"Russian Federation","RUS","2018","100","","13.1584362579663","2154940","","","","51140","","44850","2.21834957612455","1.01192635787822","3.39425497912827","56253967544.8913","","7.42809828740168","0.841990605633213","121649000","","109837875","2616.2","103.26","5.88000011444092","3.99000000953674","7.67000007629395","11.0272238311957","20.8141127341778","104.5","49.7843360788722","8153116","16376870","41983108","106.06","0.109483680336963","","","","36938654","25.567","-0.563045379936593","","17098250"
"Rwanda","RWA","2016","18.9649820345621","","73.4373733279287","18117","","","","1690","","1720","2.8836895473591","1.45415235305251","25.1660503876434","2187052041.18379","","46.6842318605594","0.0986988497303371","1151700","","663575","1462.8","101.53","65.8199996948242","75.2200012207031","55.8300018310547","","10.8574976122254","100.88","11.0255370895825","2720","24670","453636","97.75","10.1337657073368","","","","9678594","82.944","2.53982583787369","","26340"
"Somalia","SOM","2004","1.13558285789386","","70.7383555966462","443770","1290","9.55555555555556","87.5190258751903","17250","96.448087431694","7060","","","","","","2.15194312494022","0.133264220205403","1350000","","366470","581.1","110.59","82.7200012207031","87.9199981689453","81.2799987792969","","","104.32","11.4897822552364","72080","627340","630641","103.54","0.0430388624988045","","","","6530872","64.469","1.96228298003066","","637660"
"Serbia","SRB","2017","100","1.46241591108511","39.0921564143609","34190","","","","3310","","2940","","","6.01415375732373","2656996313.06556","12.28869507","29.6707066087354","0.369612944742651","2595000","","6814547","3968.1","85.91","17.2199993133545","14.9300003051758","19.0200004577637","261.392338095571","120.902870905588","89.92","31.1211982620627","27218.6","87460","1717348","98.91","2.37823004802195","","","","3093250","44.058","-0.831320356917735","","88360"
"Sub-Saharan Africa (excluding high income)","SSA","2014","19.841861274209","","42.3189853893191","10094107.5","","","","516910","","357850","1.98778556002051","0.895296418933604","15.0694807539839","293385492773.209","","9.36380309547013","0.226890547979311","","","152997519","1434.30395517849","0.192480727029534","55.3968335391598","55.9452732200747","54.9375979694931","293.605664044935","15.5027383485233","0.205185398051556","27.2919560360157","6509795.44","23852432.678","106669674","0.19516613840714","1.243040869188","","","","600043899","61.9325360207848","1.8962537986543","","24286970.568"
"South Sudan","SSD","1989","","","","","","","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","4821697","87.483","-0.341453636687427","",""
"Small states","SST","2017","64.2063900120481","","32.5914893702102","815033.3","","","","18720","","14360","0.990515427115355","1.06594176729623","2.70730227041443","14157552021.4975","50.1506037651499","2.09666274110701","0.131533035378415","","","3830183","1927.02745733446","","18.882773708727","19.8894846748729","18.2657555170755","7.61774775258705","67.6406163146637","","39.9274539089195","998487.8","2500755","1987611","","0.58438160537579","","","","16639738","41.7206619224451","0.666794922054592","","2572966"
"Slovak Republic","SVK","1985","","","","","","","60.7257504902555","3805.56740429838","47.996420652708","2482.899957","","","","","","","","","","","","","","","","","","","","","48100","","","","","","","2365329","45.824","-0.335668298892456","","49030"
"Eswatini","SWZ","1978","","","80.9883720930233","13930","2873","152.81914893617","65.8703509036007","684.695949502568","94.4881312761473","459.9996876","","","31.3977042538825","106945722.171113","","10.9302325581395","0.341950609963495","188000","","103167","1803.3","52.3","","","","","","59.74","","","17200","57209","85.64","0.348837209302326","","","","462904","84.197","2.85121352153333","","17360"
"Syrian Arab Republic","SYR","2001","","","74.6708020459245","137230","100347","216.498381877023","8.19622181596587","2690","83.9901477832512","3410","4.2925180539819","2.31096535506568","25.8760160900412","5459796384.79119","","25.2203721841332","0.276443193011325","4635000","","5161232","1692.6","128.49","31.0200004577637","58.0699996948242","25.6599998474121","136.494133633682","64.5810140237325","111.54","2.38371966481663","4380.8","183780","3049377","89.43","4.43465012514964","","","","7995299","47.686","1.37768820512371","","185180"
"Syrian Arab Republic","SYR","1960","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2890141","63.193","","",""
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","1985","","","33.6199850346844","6704535.07","1207765.57","99.6884543818679","66.0269994679734","442690.655104564","72.5963257158485","212434.535627878","3.19925507802773","3.00837924492072","9.7337301558989","69690137103.2942","","6.35644845440643","0.327870531877072","","","109369625","2138.55543932087","0.0813335503463919","","","","141.708510800164","54.1276226173426","0.0805875821307549","","","19942112","51141936","0.0738727880570176","0.983621995503786","","","","125489701","32.4582269570801","0.253845194304631","","20317186"
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","1992","64.220646364892","","33.4470339951957","6670044.98","1493944","128.883205008931","72.0577589327266","557410","90.2524623570701","239160","3.27362288711871","2.36060654858417","7.71157993440883","98835815854.0085","","6.08428836424146","0.274044683204776","","","117492849","2427.47389657774","0.0911822764002144","21.0850931645146","10.702178994928","26.6348932303741","154.126176310299","62.0796849633373","0.0940875512612818","52.9539579358495","10560137.6","19942112","48401416","0.0896844993555704","0.995280740575522","","","","126227209","28.5097506316716","0.033461191650801","","20317186"
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","1971","","","39.8397491106261","8462835.6","237010","18.4917146816168","61.2713087551249","251448.902815374","68.4725719319572","203878.796804095","","","","","","6.39946039464573","0.480790106164277","","","47896848","908.77683732115","1.80007290842687","","","","122.311385957495","8.23850088921856","2.15955343782672","","","23824544.271","52705579","3.73041254490188","0.680956121710797","","","","243015312","81.4709884021554","2.16388218402999","","21884801"
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","2020","","","","","","","","","","","","","15.5268773470863","326307332357.214","","","","","","","","","","","","","","","26.2944794419033","6271975.7","23852823.228","","","","","","","667403145","58.7478576522054","1.69417073170717","",""
"Tunisia","TUN","2000","85.9979484267838","","61.476570545829","95510","32700","114.175977653631","37.2611464968153","2340","69.6078431372549","2130","0.659612816419286","3.05409845053226","10.006319351485","2148683154.59254","","18.4346035015448","0.295003876561066","2864000","","1121989","984.5","64.68","20.2999992370605","22.6499996185303","19.5499992370605","9.77602108036891","38.8617318435754","67.05","4.29872554067971","6678.5","155360","1139599","73.96","13.6843460350154","144635.9063","1.401262532","2165.424072","3550148","36.568","-0.0772908430812157","1.499867582","163610"
"British Virgin Islands","VGB","1987","","","60","90","3","10","68.2196249797135","7.55955308325201","77.0756548738356","3.27822954","","","","","","20","0.194931773879142","3000","","","","111.62","","","","","","91.35","","","150","","87.5","6.66666666666667","","","","10335","67.154","2.62734453864453","","150"
"World","WLD","1968","","","36.8407345491334","38831509.111","13395307.52","128.387173342345","","","","","7.97252736637573","7.60057503421465","","","","9.97011281302498","0.32256993278134","","","991786147","1774.55698234234","0.160262074668362","","","","93.7253536382219","","0.187650189935921","","","129856739.698","558890435","0.231995081198916","0.755473411641521","","","","2254245167","63.8304371573682","1.72721452092948","","131635290.327"
"Northern Mariana Islands","MNP","1986","","","","","","","0.651478995776969","0.0247593940866041","78.449443008755","0.2353597748","","","","","","","","","","","","","","","","","","","","","","","","","","","","3665","11.321","9.37561355693778","",""
"Mozambique","MOZ","1997","","","46.7878125079478","367930","","","68.4365781710914","6960","91.1311053984576","7090","13.7725125696911","2.33325247490402","30.2642977693429","1406936414.98319","80.34630522","4.95943437015184","0.237845848446455","3900000","1032","1529972","821.4","52.27","83.4199981689453","91.8399963378906","72.4800033569336","","1.66666666666667","62.43","53.2121874920522","418450","786380","1862687","85.02","0.298837712047611","","","","11718241","71.465","1.97178127023226","","799380"
"Malawi","MWI","2012","1.82181393037536","","59.2384386932541","55850","","","","2160","","2690","7.00278934215075","1.24901261984671","28.2889262394967","1705394503.54468","85.9375","38.1841323716589","0.233826816168605","3600000","1181","3832659","2087.1","88.91","78.0800018310547","84.2600021362305","72.379997253418","","25.663925","87.88","27.3408994484514","25777","94280","1836365","73.83","1.43190496393721","","","","12961593","84.188","2.69252784691303","","118480"
"Puerto Rico","PRI","1994","100","","34.836527621195","3090","2672","809.69696969697","","","","","","","0.930194355695538","369200000","","3.72040586245772","0.009042986246166","33000","","550","1410.3","145.26","3.50999999046326","0.25","5.6399998664856","","","137.37","41.0211950394588","3638.58","8870","390","139.44","4.96054114994363","","","","234354","6.422","-1.44079389882231","","8870"
"Chad","TCD","2015","0.522862551467278","","39.8959656925032","502370","","","","39370","","21270","","","50.3955822999691","5518513923.35436","","4.12960609911055","0.368507595969122","5200000","","2452528","801.9","91.59","75.379997253418","74.1100006103516","76.4300003051758","","","97.49","3.88341804320203","48900","1259200","3058448","101.22","0.0293837357052097","","","","10933886","77.485","3.0376183320359","","1284000"
"British Virgin Islands","VGB","1978","","","53.3333333333333","80","4","20","80.0572202893376","10.5011055853524","90.9647331051097","4.44812087","","","","","","13.3333333333333","0.181143012408296","2000","","","","85.67","","","","","","77.62","","","150","","76.09","6.66666666666667","","","","8685","78.66","0.265175690063323","","150"
"Aruba","ABW","2006","100","","11.1111111111111","20","","","","","","","1.09595387244533","2.82170580925841","0.393755760368664","9546927.37430168","","11.1111111111111","0.0198353664583953","2000","","","","","","","","","","","2.33333333333333","4.2","180","","","","","","","55950","55.489","1.45830291622837","","180"
"Afghanistan","AFG","1999","","","57.8270992249487","377530","110","0.143734483209199","75.737152485257","8990","91.566265060241","3800","","","","","","11.7222681738811","0.37940895590552","7653000","","3256396","1285.7","59.6","65.4599990844727","78.1900024414063","63.310001373291","100","0.653338560041814","80.59","1.85099408755323","12084.4","652860","2532871","114.58","0.153172196182949","","","","15736085","78.014","2.05385511400112","","652860"
"Africa Western and Central","AFW","1960","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82254748","85.3296712092282","1.28764818497287","",""
"Argentina","ARG","1996","82.3698768370974","","46.8237177027723","1281420","254400","93.4881669851536","75.1445086705202","80600","94.9216639654241","35140","3.87160120185598","1.91340954022097","5.61086611323361","15269958100","","9.94339877735513","0.772051004619596","27212000","","24135124","2712.8","45.59","0.759999990463257","0.219999998807907","1.12999999523163","1059.72738537794","31.4273114802293","57.35","12.4633772915456","341084","2736690","8896900","81.68","0.372713021935258","","","","4100563","11.634","-0.527776046999377","","2780400"
"Austria","AUT","1999","100","","35.7859045773795","29552","335728","2394.6362339515","59.8691384950927","5490","61.3390928725702","2840","3.14992012250602","2.71878116067497","1.72221732211898","3740411250.79906","","16.9774763865343","0.17541831387216","1402000","","4809095","5926.9","107.42","6.23000001907349","6.96000003814697","5.67999982833862","","160.485021398003","97.58","46.4021918139985","38318.93","82580","811405","91.79","0.859772341971422","","","","3157687","39.509","0.89812491175979","","83879"
"Benin","BEN","1983","","","18.6236253990777","21000","120","0.769230769230769","38.4604116769268","1597.68011543005","48.610982350821","1492.5808173","","","33.1576442965202","363191694.089738","","13.8346931536006","0.386144348678446","1560000","","351157","599.9","17.89","","","","","3.46153846153846","21.25","","","112760","585376","50.37","0.798155374246187","","","","2852844","70.616","1.84198698101196","","114760"
"Bolivia","BOL","1998","32.6782770853407","","34.1382811778824","369820","5700","19.1661062542031","83.3650793650794","13130","96.1794019933555","5790","5.40593172466798","0.942710304838363","12.6254321496117","1072851853.86835","","2.74531524046894","0.367307371429143","2974000","","1157807","1494.8","51.89","40.689998626709","40.9500007629395","40.5","","1.69939475453934","51.27","51.3634782608696","556420.56","1083300","774566","52.15","0.163389642758239","","","","3178869","39.261","0.65377934669349","","1098580"
"Brazil","BRA","1977","","","26.0465845271795","2177010","370000","94.1212383302384","69.4816972584538","160137.246939449","64.1438035048313","75071.4445","2.35351491708881","1.45869997777635","12.9308376062278","22780422683.1598","","4.70331915952592","0.349663001397407","39311000","1761","30913834","1452.5","28.34","","","","237.041616988962","81.6283991758032","24.44","","","8358140","21283876","20.53","1.10311624356615","","","","41947038","37.311","-0.127429565138929","","8515770"
"Central African Republic","CAF","1973","","","7.80121352210344","48600","","","77.8297681569572","23722.6689937769","76.2848658523545","28750.4309546","49.710243249332","0.453247709839581","","","","2.88933834151979","0.949943267277093","1800000","","103650","682.8","59.69","","","","","0.920555555555556","33.82","","","622980","151810","15.36","0.0963112780506597","","","","1323875","69.867","0.165711770568603","","622980"
"Central Europe and the Baltics","CEB","1967","","","64.3382253207824","474340","","","","","","","","","","","","46.7284268778992","","","","44241723","2167.64834028646","","","","","","","","","","1105946","20410239","","","","","","49426266","50.9321935417675","-0.169478294108231","","1134899"
